Assay,Taxon,Amp,Genus
CMCP_3,Ochetobius elongatus,0.181,Ochetobius
CMCP_3,Pethia melanomaculata,0.181,Pethia
CMCP_5,Squalius alburnoides,0.181,Squalius
CMCP_5,Squalius pyrenaicus,0.181,Squalius
CMCP_5,Squalius valentinus,0.181,Squalius
CMCP_5,Telestes croaticus,0.181,Telestes
CMCP_5,Telestes souffia,0.181,Telestes
CMCP_5,Yuriria alta,0.181,Yuriria
CMCP_3,Lythrurus umbratilis,0.18,Lythrurus
CMCP_3,Macrhybopsis hyostoma,0.18,Macrhybopsis
CMCP_3,Macrhybopsis meeki,0.18,Macrhybopsis
CMCP_3,Macrhybopsis tetranema,0.18,Macrhybopsis
CMCP_3,Moapa coriacea,0.18,Moapa
CMCP_3,Mesogobio lachneri,0.179,Mesogobio
CMCP_3,Pethia narayani,0.179,Pethia
CMCP_4,Rhinichthys obtusus,0.179,Rhinichthys
CMCP_4,Semotilus lumbee,0.179,Semotilus
CMCP_1,Ancherythroculter nigrocauda,0.178,Ancherythroculter
CMCP_1,Barbus ethiopicus,0.178,Barbus
CMCP_1,Barbus thysi,0.178,Barbus
CMCP_1,Clinostomus funduloides,0.178,Clinostomus
CMCP_3,Lythrurus ardens,0.178,Lythrurus
CMCP_3,Lythrurus fasciolaris,0.178,Lythrurus
CMCP_1,Aphyocypris arcus,0.177,Aphyocypris
CMCP_1,Barbus viviparus,0.177,Barbus
CMCP_3,Notropis atherinoides,0.177,Notropis
CMCP_3,Notropis buchanani,0.177,Notropis
CMCP_3,Notropis chiliticus,0.177,Notropis
CMCP_3,Notropis cummingsae,0.177,Notropis
CMCP_3,Notropis leuciodus,0.177,Notropis
CMCP_3,Notropis simus,0.177,Notropis
CMCP_5,Yaoshanicus arcus,0.177,Yaoshanicus
CMCP_4,Rhodeus uyekii,0.177,Rhodeus
CMCP_supplement,Osteobrama cotio,0.177,Osteobrama
CMCP_1,Acheilognathus somjinensis,0.176,Acheilognathus
CMCP_1,Barbus humilis,0.176,Barbus
CMCP_1,Barbus trispilopleura,0.176,Barbus
CMCP_1,Barilius mesopotamicus,0.176,Barilius
CMCP_3,Leuciscus polylepis,0.176,Leuciscus
CMCP_3,Notropis semperasper,0.176,Notropis
CMCP_3,Notropis stramineus,0.176,Notropis
CMCP_2,Pseudorasbora elongata,0.176,Pseudorasbora
CMCP_5,Tanakia tanago,0.176,Tanakia
CMCP_1,Acrossocheilus jishouensis,0.175,Acrossocheilus
CMCP_3,Leuciscus aspius,0.175,Leuciscus
CMCP_3,Notropis braytoni,0.175,Notropis
CMCP_5,Squalidus wolterstorffi,0.175,Squalidus
CMCP_5,Squalius torgalensis,0.175,Squalius
CMCP_4,Rutilus heckelii,0.175,Rutilus
CMCP_1,Algansea tincella,0.174,Algansea
CMCP_1,Aspius aspius,0.174,Aspius
CMCP_1,Biwia springeri,0.174,Biwia
CMCP_1,Brevibora cheeya,0.174,Brevibora
CMCP_2,Pteronotropis hubbsi,0.174,Pteronotropis
CMCP_5,Rutilus rutilus,0.174,Rutilus
CMCP_5,Arabibarbus grypus,0.173,Arabibarbus
CMCP_1,Belligobio nummifer,0.173,Belligobio
CMCP_1,Campostoma oligolepis,0.173,Campostoma
CMCP_3,Neolissochilus hexastichus,0.173,Neolissochilus
CMCP_3,Notropis maculatus,0.173,Notropis
CMCP_3,Osteobrama cunma,0.173,Osteobrama
CMCP_3,Phoxinellus ghetaldii,0.173,Phoxinellus
CMCP_5,Squalidus chankaensis,0.173,Squalidus
CMCP_5,Toxabramis houdemeri,0.173,Toxabramis
CMCP_1,Acapoeta tanganicae,0.172,Acapoeta
CMCP_1,Aspidoparia morar,0.172,Aspidoparia
CMCP_1,Barbus harterti,0.172,Barbus
CMCP_1,Carasobarbus harterti,0.172,Carasobarbus
CMCP_3,Leuciscus keadicus,0.172,Leuciscus
CMCP_3,Microphysogobio tungtingensis,0.172,Microphysogobio
CMCP_3,Notropis blennius,0.172,Notropis
CMCP_2,Pteronotropis harperi,0.172,Pteronotropis
CMCP_5,Squalius keadicus,0.172,Squalius
CMCP_supplement,Cabdio morar,0.172,Cabdio
CMCP_1,Abbottina obtusirostris,0.171,Abbottina
CMCP_1,Achondrostoma arcasii,0.171,Achondrostoma
CMCP_1,Alburnus escherichii,0.171,Alburnus
CMCP_1,Alburnus filippii,0.171,Alburnus
CMCP_1,Alburnus hohenackeri,0.171,Alburnus
CMCP_1,Anematichthys armatus,0.171,Anematichthys
CMCP_1,Chondrostoma arcasii,0.171,Chondrostoma
CMCP_3,Notropis lutipinnis,0.171,Notropis
CMCP_3,Notropis ortenburgeri,0.171,Notropis
CMCP_5,Squalius pursakensis,0.171,Squalius
CMCP_1,Coreius guichenoti,0.17,Coreius
CMCP_3,Microphysogobio elongatus,0.17,Microphysogobio
CMCP_3,Microphysogobio longidorsalis,0.17,Microphysogobio
CMCP_3,Notropis potteri,0.17,Notropis
CMCP_3,Opsariichthys evolans,0.17,Opsariichthys
CMCP_3,Pethia cumingii,0.17,Pethia
CMCP_5,Squaliobarbus curriculus,0.17,Squaliobarbus
CMCP_1,Barbus trimaculatus,0.169,Barbus
CMCP_3,Nocomis micropogon,0.169,Nocomis
CMCP_3,Notropis dorsalis,0.169,Notropis
CMCP_3,Notropis mekistocholas,0.169,Notropis
CMCP_3,Phoxinellus fontinalis,0.169,Phoxinellus
CMCP_5,Telestes fontinalis,0.169,Telestes
CMCP_1,Algansea barbata,0.168,Algansea
CMCP_1,Barbus canis,0.168,Barbus
CMCP_1,Barbus chantrei,0.168,Barbus
CMCP_1,Campostoma pauciradii,0.168,Campostoma
CMCP_1,Carasobarbus canis,0.168,Carasobarbus
CMCP_1,Carasobarbus chantrei,0.168,Carasobarbus
CMCP_1,Carasobarbus exulatus,0.168,Carasobarbus
CMCP_1,Chondrostoma duriensis,0.168,Chondrostoma
CMCP_1,Crossocheilus oblongus,0.168,Crossocheilus
CMCP_3,Labeobarbus macroceps,0.168,Labeobarbus
CMCP_3,Nocomis raneyi,0.168,Nocomis
CMCP_3,Pethia nigripinna,0.168,Pethia
CMCP_1,Barilius vagra,0.167,Barilius
CMCP_3,Neolissochilus benasi,0.167,Neolissochilus
CMCP_3,Oreichthys parvus,0.167,Oreichthys
CMCP_2,Pseudophoxinus zekayi,0.167,Pseudophoxinus
CMCP_5,Squalidus japonicus,0.167,Squalidus
CMCP_4,Rhodeus amurensis,0.167,Rhodeus
CMCP_4,Rutilus frisii,0.167,Rutilus
CMCP_supplement,Leucaspius delineatus,0.167,Leucaspius
CMCP_1,Algansea amecae,0.166,Algansea
CMCP_1,Algansea lacustris,0.166,Algansea
CMCP_1,Anabarilius duoyiheensis,0.166,Anabarilius
CMCP_1,Barbus erubescens,0.166,Barbus
CMCP_3,Notropis scepticus,0.166,Notropis
CMCP_3,Parasinilabeo longicorpus,0.166,Parasinilabeo
CMCP_1,Alburnus belvica,0.165,Alburnus
CMCP_1,Anabarilius andersoni,0.165,Anabarilius
CMCP_1,Ancherythroculter lini,0.165,Ancherythroculter
CMCP_1,Barbus calidus,0.165,Barbus
CMCP_1,Barbus tanapelagius,0.165,Barbus
CMCP_1,Chalcalburnus belvica,0.165,Chalcalburnus
CMCP_3,Luxilus albeolus,0.165,Luxilus
CMCP_3,Lythrurus fumeus,0.165,Lythrurus
CMCP_3,Notropis melanostomus,0.165,Notropis
CMCP_3,Notropis volucellus,0.165,Notropis
CMCP_3,Oreichthys crenuchoides,0.165,Oreichthys
CMCP_5,Squalidus iijimae,0.165,Squalidus
CMCP_5,Squalidus nitens,0.165,Squalidus
CMCP_4,Rhodeus shitaiensis,0.165,Rhodeus
CMCP_supplement,Culter recurviceps,0.165,Culter
CMCP_1,Acanthobrama lissneri,0.164,Acanthobrama
CMCP_1,Acheilognathus longipinnis,0.164,Acheilognathus
CMCP_3,Opsarius bernatziki,0.164,Opsarius
CMCP_3,Opsarius pulchellus,0.164,Opsarius
CMCP_3,Opsopoeodus emiliae,0.164,Opsopoeodus
CMCP_3,Phoxinellus adspersus,0.164,Phoxinellus
CMCP_3,Phoxinus strandjae,0.164,Phoxinus
CMCP_5,Squalius albus,0.164,Squalius
CMCP_1,Barilius barila,0.163,Barilius
CMCP_3,Mesogobio tumenensis,0.163,Mesogobio
CMCP_3,Notropis ozarcanus,0.163,Notropis
CMCP_3,Opsarius barnoides,0.163,Opsarius
CMCP_3,Pethia pookodensis,0.163,Pethia
CMCP_2,Pimephales vigilax,0.163,Pimephales
CMCP_4,Sarcocheilichthys biwaensis,0.163,Sarcocheilichthys
CMCP_1,Acrossocheilus kreyenbergii,0.162,Acrossocheilus
CMCP_1,Alburnus qalilus,0.162,Alburnus
CMCP_1,Barbus guirali,0.162,Barbus
CMCP_3,Lepidomeda vittata,0.162,Lepidomeda
CMCP_3,Notropis imeldae,0.162,Notropis
CMCP_3,Notropis topeka,0.162,Notropis
CMCP_5,Xenocypris argentea,0.162,Xenocypris
CMCP_4,Rasbora argyrotaenia,0.162,Rasbora
CMCP_4,Sarcocheilichthys kiangsiensis,0.162,Sarcocheilichthys
CMCP_1,Acheilognathus melanogaster,0.161,Acheilognathus
CMCP_1,Alburnoides kubanicus,0.161,Alburnoides
CMCP_1,Bangana tonkinensis,0.161,Bangana
CMCP_1,Barbus gananensis,0.161,Barbus
CMCP_1,Barbus sacratus,0.161,Barbus
CMCP_3,Labeobarbus gananensis,0.161,Labeobarbus
CMCP_3,Leptocypris niloticus,0.161,Leptocypris
CMCP_3,Microphysogobio kiatingensis,0.161,Microphysogobio
CMCP_3,Mystacoleucus marginatus,0.161,Mystacoleucus
CMCP_3,Notropis chihuahua,0.161,Notropis
CMCP_3,Notropis shumardi,0.161,Notropis
CMCP_3,Parasinilabeo longibarbus,0.161,Parasinilabeo
CMCP_5,Varicorhinus jubae,0.161,Varicorhinus
CMCP_supplement,Barilius bendelisis,0.161,Barilius
CMCP_3,Luxilus zonistius,0.16,Luxilus
CMCP_1,Acrocheilus alutaceus,0.159,Acrocheilus
CMCP_1,Barbus peloponnesius,0.159,Barbus
CMCP_3,Mekongina erythrospila,0.159,Mekongina
CMCP_3,Notropis perpallidus,0.159,Notropis
CMCP_3,Pelasgus prespensis,0.159,Pelasgus
CMCP_supplement,Amblypharyngodon chulabhornae,0.159,Amblypharyngodon
CMCP_1,Alburnus tarichi,0.158,Alburnus
CMCP_1,Anabarilius brevianalis,0.158,Anabarilius
CMCP_3,Microdevario nana,0.158,Microdevario
CMCP_3,Microdevario nanus,0.158,Microdevario
CMCP_3,Notropis chlorocephalus,0.158,Notropis
CMCP_3,Opsaridium boweni,0.158,Opsaridium
CMCP_3,Pimephales notatus,0.158,Pimephales
CMCP_4,Relictus solitarius,0.158,Relictus
CMCP_supplement,Phoxinus keumkang,0.158,Phoxinus
CMCP_1,Alburnus attalus,0.157,Alburnus
CMCP_1,Alburnus mandrensis,0.157,Alburnus
CMCP_1,Alburnus schischkovi,0.157,Alburnus
CMCP_1,Alburnus vistonicus,0.157,Alburnus
CMCP_1,Aspius vorax,0.157,Aspius
CMCP_1,Barbus leonensis,0.157,Barbus
CMCP_1,Brevibora exilis,0.157,Brevibora
CMCP_1,Chalcalburnus chalcoides,0.157,Chalcalburnus
CMCP_3,Leuciscus vorax,0.157,Leuciscus
CMCP_3,Pelasgus thesproticus,0.157,Pelasgus
CMCP_3,Phoxinus semotilus,0.157,Phoxinus
CMCP_4,Salmostoma bacaila,0.157,Salmostoma
CMCP_1,Alburnus baliki,0.156,Alburnus
CMCP_1,Barbus luteus,0.156,Barbus
CMCP_1,Carasobarbus apoensis,0.156,Carasobarbus
CMCP_1,Chela maasii,0.156,Chela
CMCP_1,Culter alburnus,0.156,Culter
CMCP_3,Lythrurus matutinus,0.156,Lythrurus
CMCP_3,Malayochela maassi,0.156,Malayochela
CMCP_3,Megalobrama amblycephala,0.156,Megalobrama
CMCP_3,Nocomis leptocephalus,0.156,Nocomis
CMCP_3,Notropis cahabae,0.156,Notropis
CMCP_3,Notropis grandis,0.156,Notropis
CMCP_3,Notropis scabriceps,0.156,Notropis
CMCP_2,Pseudophoxinus callensis,0.156,Pseudophoxinus
CMCP_2,Pseudophoxinus kervillei,0.156,Pseudophoxinus
CMCP_5,Squalidus argentatus,0.156,Squalidus
CMCP_5,Squalidus mantschuricus,0.156,Squalidus
CMCP_4,Puntigrus partipentazona,0.156,Puntigrus
CMCP_4,Puntius cauveriensis,0.156,Puntius
CMCP_4,Puntius kamalika,0.156,Puntius
CMCP_1,Biwia yodoensis,0.155,Biwia
CMCP_1,Chagunius baileyi,0.155,Chagunius
CMCP_3,Nocomis platyrhynchus,0.155,Nocomis
CMCP_3,Notropis ariommus,0.155,Notropis
CMCP_3,Oregonichthys kalawatseti,0.155,Oregonichthys
CMCP_3,Paralaubuca barroni,0.155,Paralaubuca
CMCP_3,Pararhinichthys bowersi,0.155,Pararhinichthys
CMCP_2,Platysmacheilus exiguus,0.155,Platysmacheilus
CMCP_1,Acrossocheilus wenchowensis,0.154,Acrossocheilus
CMCP_1,Ancherythroculter daovantieni,0.154,Ancherythroculter
CMCP_1,Aztecula sallaei,0.154,Aztecula
CMCP_1,Barbodes semifasciolatus,0.154,Barbodes
CMCP_1,Barbus bynni,0.154,Barbus
CMCP_1,Capoeta semifasciolata,0.154,Capoeta
CMCP_3,Ladislavia taczanowskii,0.154,Ladislavia
CMCP_3,Microphysogobio amurensis,0.154,Microphysogobio
CMCP_3,Microphysogobio jeoni,0.154,Microphysogobio
CMCP_3,Notropis amabilis,0.154,Notropis
CMCP_3,Notropis procne,0.154,Notropis
CMCP_3,Notropis sallaei,0.154,Notropis
CMCP_3,Opsopoeodus emilae,0.154,Opsopoeodus
CMCP_3,Paralaubuca riveroi,0.154,Paralaubuca
CMCP_3,Paralaubuca typus,0.154,Paralaubuca
CMCP_3,Phenacobius catostomus,0.154,Phenacobius
CMCP_5,Schizothorax plagiostomus,0.154,Schizothorax
CMCP_1,Aphyocypris chinensis,0.153,Aphyocypris
CMCP_1,Chanodichthys erythropterus,0.153,Chanodichthys
CMCP_5,Cyclocheilichthys apogon,0.153,Cyclocheilichthys
CMCP_3,Lepidopygopsis typus,0.153,Lepidopygopsis
CMCP_3,Metzia lineata,0.153,Metzia
CMCP_3,Metzia mesembrinum,0.153,Metzia
CMCP_3,Opsaridium ubangiense,0.153,Opsaridium
CMCP_3,Opsariichthys hainanensis,0.153,Opsariichthys
CMCP_3,Oregonichthys crameri,0.153,Oregonichthys
CMCP_3,Oregonichthys cramery,0.153,Oregonichthys
CMCP_3,Paedocypris progenetica,0.153,Paedocypris
CMCP_2,Pseudopungtungia tenuicorpus,0.153,Pseudopungtungia
CMCP_4,Rasbora wilpita,0.153,Rasbora
CMCP_1,Alburnus timarensis,0.152,Alburnus
CMCP_1,Aphyocypris kikuchii,0.152,Aphyocypris
CMCP_1,Balantiocheilos melanopterus,0.152,Balantiocheilos
CMCP_1,Barbodes laticeps,0.152,Barbodes
CMCP_1,Barbus grypus,0.152,Barbus
CMCP_5,Gymnocypris potanini,0.152,Gymnocypris
CMCP_3,Notemigonus crysoleucas,0.152,Notemigonus
CMCP_3,Notropis heterodon,0.152,Notropis
CMCP_3,Notropis spectrunculus,0.152,Notropis
CMCP_3,Oreichthys cosuatis,0.152,Oreichthys
CMCP_3,Paraleucogobio strigatus,0.152,Paraleucogobio
CMCP_2,Pseudobarbus quathlambae,0.152,Pseudobarbus
CMCP_2,Pseudophoxinus stymphalicus,0.152,Pseudophoxinus
CMCP_4,Rhinogobio nasutus,0.152,Rhinogobio
CMCP_4,Rhinogobio typus,0.152,Rhinogobio
CMCP_4,Rhinogobio ventralis,0.152,Rhinogobio
CMCP_1,Alburnus derjugini,0.151,Alburnus
CMCP_1,Bangana tungting,0.151,Bangana
CMCP_1,Barbus callipterus,0.151,Barbus
CMCP_1,Barbus taeniurus,0.151,Barbus
CMCP_3,Microphysogobio exilicauda,0.151,Microphysogobio
CMCP_4,Sinocyclocheilus anatirostris,0.151,Sinocyclocheilus
CMCP_1,Bangana elegans,0.15,Bangana
CMCP_1,Barbonymus schwanenfeldii,0.15,Barbonymus
CMCP_1,Barbus intermedius,0.15,Barbus
CMCP_1,Carasobarbus sublimus,0.15,Carasobarbus
CMCP_1,Carasobarbus_sp.,0.15,Carasobarbus_sp.
CMCP_3,Labeobarbus acutirostris,0.15,Labeobarbus
CMCP_3,Labeobarbus brevicephalus,0.15,Labeobarbus
CMCP_3,Labeobarbus crassibarbis,0.15,Labeobarbus
CMCP_3,Labeobarbus dainellii,0.15,Labeobarbus
CMCP_3,Labeobarbus gorgorensis,0.15,Labeobarbus
CMCP_3,Labeobarbus gorguari,0.15,Labeobarbus
CMCP_3,Labeobarbus intermedius,0.15,Labeobarbus
CMCP_3,Labeobarbus longissimus,0.15,Labeobarbus
CMCP_3,Labeobarbus macrophtalmus,0.15,Labeobarbus
CMCP_3,Labeobarbus megastoma,0.15,Labeobarbus
CMCP_3,Labeobarbus nedgia,0.15,Labeobarbus
CMCP_3,Labeobarbus platydorsus,0.15,Labeobarbus
CMCP_3,Labeobarbus surkis,0.15,Labeobarbus
CMCP_3,Labeobarbus truttiformis,0.15,Labeobarbus
CMCP_3,Labeobarbus tsanensis,0.15,Labeobarbus
CMCP_3,Notropis atrocaudalis,0.15,Notropis
CMCP_3,Notropis nubilus,0.15,Notropis
CMCP_3,Pethia conchonius,0.15,Pethia
CMCP_3,Pethia sanjaymoluri,0.15,Pethia
CMCP_5,Squalius castellanus,0.15,Squalius
CMCP_4,Rhinichthys umatilla,0.15,Rhinichthys
CMCP_4,Rutilus albus,0.15,Rutilus
CMCP_4,Rutilus basak,0.15,Rutilus
CMCP_supplement,Barbonymus schwanefeldii,0.15,Barbonymus
CMCP_1,Alburnus caeruleus,0.149,Alburnus
CMCP_5,Carasobarbus luteus,0.149,Carasobarbus
CMCP_3,Labeobarbus jubae,0.149,Labeobarbus
CMCP_3,Luxilus cerasinus,0.149,Luxilus
CMCP_3,Luxilus pilsbryi,0.149,Luxilus
CMCP_3,Notropis sabinae,0.149,Notropis
CMCP_3,Osteochilus pentalineatus,0.149,Osteochilus
CMCP_3,Phoxinus saylori,0.149,Phoxinus
CMCP_supplement,Tor douronensis,0.149,Tor
CMCP_1,Abbottina rivularis,0.148,Abbottina
CMCP_1,Bangana lemassoni,0.148,Bangana
CMCP_3,Mylopharyngodon piceus,0.148,Mylopharyngodon
CMCP_3,Nocomis asper,0.148,Nocomis
CMCP_3,Nocomis biguttatus,0.148,Nocomis
CMCP_3,Notropis chrosomus,0.148,Notropis
CMCP_3,Notropis oxyrhynchus,0.148,Notropis
CMCP_3,Paedocypris carbunculus,0.148,Paedocypris
CMCP_3,Phoxinus erythrogaster,0.148,Phoxinus
CMCP_supplement,Rasbora borapetensis,0.148,Rasbora
CMCP_1,Alburnus istanbulensis,0.147,Alburnus
CMCP_1,Bangana decora,0.147,Bangana
CMCP_1,Barbus thamalakanensis,0.147,Barbus
CMCP_2,Platysmacheilus longibarbatus,0.147,Platysmacheilus
CMCP_5,Varicorhinus maroccanus,0.147,Varicorhinus
CMCP_4,Schizothorax pelzami,0.147,Schizothorax
CMCP_1,Acanthogobio guentheri,0.146,Acanthogobio
CMCP_1,Crossocheilus burmanicus,0.146,Crossocheilus
CMCP_3,Phenacobius teretulus,0.146,Phenacobius
CMCP_5,Tanakia koreensis,0.146,Tanakia
CMCP_5,Tanakia latimarginata,0.146,Tanakia
CMCP_5,Tanakia limbata,0.146,Tanakia
CMCP_5,Tribolodon brandtii,0.146,Tribolodon
CMCP_5,Sarcocheilichthys hainanensis,0.146,Sarcocheilichthys
CMCP_1,Anabarilius grahami,0.145,Anabarilius
CMCP_1,Arabibarbus arabicus,0.145,Arabibarbus
CMCP_1,Barbodes rhombeus,0.145,Barbodes
CMCP_1,Chelaethiops elongatus,0.145,Chelaethiops
CMCP_1,Chondrostoma almacai,0.145,Chondrostoma
CMCP_1,Chondrostoma oretanum,0.145,Chondrostoma
CMCP_1,Couesius plumbeus,0.145,Couesius
CMCP_3,Nocomis effusus,0.145,Nocomis
CMCP_3,Notropis suttkusi,0.145,Notropis
CMCP_3,Paraleucogobio notacanthus,0.145,Paraleucogobio
CMCP_3,Phoxinus oxycephalus,0.145,Phoxinus
CMCP_2,Pogonichthys macrolepidotus,0.145,Pogonichthys
CMCP_5,Siphateles bicolor,0.145,Siphateles
CMCP_5,Tanichthys albonubes,0.145,Tanichthys
CMCP_4,Rasbora caudimaculata,0.145,Rasbora
CMCP_4,Rhodeus pseudosericeus,0.145,Rhodeus
CMCP_4,Sinocyclocheilus furcodorsalis,0.145,Sinocyclocheilus
CMCP_4,Sinocyclocheilus guishanensis,0.145,Sinocyclocheilus
CMCP_4,Sinocyclocheilus huaningensis,0.145,Sinocyclocheilus
CMCP_4,Sinocyclocheilus oxycephalus,0.145,Sinocyclocheilus
CMCP_4,Sinocyclocheilus purpureus,0.145,Sinocyclocheilus
CMCP_4,Sinocyclocheilus qiubeiensis,0.145,Sinocyclocheilus
CMCP_supplement,Osteochilus melanopleurus,0.145,Osteochilus
CMCP_supplement,Cirrhinus reba,0.145,Cirrhinus
CMCP_1,Acheilognathus macropterus,0.144,Acheilognathus
CMCP_1,Coreoleuciscus aeruginos,0.144,Coreoleuciscus
CMCP_1,Coreoleuciscus splendidus,0.144,Coreoleuciscus
CMCP_2,Pseudophoxinus fahirae,0.144,Pseudophoxinus
CMCP_5,Xenocyprioides carinatus,0.144,Xenocyprioides
CMCP_4,Romanogobio banaticus,0.144,Romanogobio
CMCP_4,Schizocypris altidorsalis,0.144,Schizocypris
CMCP_4,Schizopygopsis anteroventris,0.144,Schizopygopsis
CMCP_4,Sinocyclocheilus rhinocerous,0.144,Sinocyclocheilus
CMCP_1,Aaptosyax grypus,0.143,Aaptosyax
CMCP_1,Barbus camptacanthus,0.143,Barbus
CMCP_3,Luxilus coccogenis,0.143,Luxilus
CMCP_3,Oxygymnocypris stewartii,0.143,Oxygymnocypris
CMCP_4,Rasbora lacrimula,0.143,Rasbora
CMCP_4,Sarcocheilichthys czerskii,0.143,Sarcocheilichthys
CMCP_4,Schizopyge curvifrons,0.143,Schizopyge
CMCP_4,Schizothorax argentatus,0.143,Schizothorax
CMCP_4,Schizothorax lantsangensis,0.143,Schizothorax
CMCP_4,Schizothorax pseudoaksaiensis,0.143,Schizothorax
CMCP_4,Sinocyclocheilus tianlinensis,0.143,Sinocyclocheilus
CMCP_1,Abbottina lalinensis,0.142,Abbottina
CMCP_1,Abbottina liaoningensis,0.142,Abbottina
CMCP_1,Acheilognathus peihoensis,0.142,Acheilognathus
CMCP_1,Ancherythroculter kurematsui,0.142,Ancherythroculter
CMCP_3,Leuciscus baicalensis,0.142,Leuciscus
CMCP_3,Leuciscus schmidti,0.142,Leuciscus
CMCP_3,Microphysogobio liaohensis,0.142,Microphysogobio
CMCP_4,Puntius sahyadriensis,0.142,Puntius
CMCP_4,Rasbora kottelati,0.142,Rasbora
CMCP_4,Scaphognathops bandanensis,0.142,Scaphognathops
CMCP_4,Sinocyclocheilus altishoulderus,0.142,Sinocyclocheilus
CMCP_4,Sinocyclocheilus brevibarbatus,0.142,Sinocyclocheilus
CMCP_4,Sinocyclocheilus flexuosdorsalis,0.142,Sinocyclocheilus
CMCP_4,Sinocyclocheilus macrocephalus,0.142,Sinocyclocheilus
CMCP_4,Sinocyclocheilus malacopterus,0.142,Sinocyclocheilus
CMCP_4,Sinocyclocheilus xichouensis,0.142,Sinocyclocheilus
CMCP_3,Luxilus cardinalis,0.141,Luxilus
CMCP_3,Osteochilus lini,0.141,Osteochilus
CMCP_4,Rasbora sarawakensis,0.141,Rasbora
CMCP_4,Rasbora trilineata,0.141,Rasbora
CMCP_4,Saurogobio xiangjiangensis,0.141,Saurogobio
CMCP_4,Schizopygopsis stoliczkai,0.141,Schizopygopsis
CMCP_4,Schizothorax eurystomus,0.141,Schizothorax
CMCP_4,Sinocyclocheilus bicornutus,0.141,Sinocyclocheilus
CMCP_1,Barbus kerstenii,0.14,Barbus
CMCP_1,Chagunius chagunio,0.14,Chagunius
CMCP_3,Lepidomeda albivallis,0.14,Lepidomeda
CMCP_3,Lepidomeda aliciae,0.14,Lepidomeda
CMCP_3,Lepidomeda mollispinis,0.14,Lepidomeda
CMCP_3,Macrhybopsis aestivalis,0.14,Macrhybopsis
CMCP_3,Phenacobius crassilabrum,0.14,Phenacobius
CMCP_2,Platygobio gracilis,0.14,Platygobio
CMCP_2,Pseudophoxinus punicus,0.14,Pseudophoxinus
CMCP_5,Snyderichthys copei,0.14,Snyderichthys
CMCP_5,Tribolodon hakonensis,0.14,Tribolodon
CMCP_5,Xenophysogobio nudicorpa,0.14,Xenophysogobio
CMCP_5,Zacco platypus,0.14,Zacco
CMCP_4,Pteronotropis welaka,0.14,Pteronotropis
CMCP_4,Rhinichthys falcatus,0.14,Rhinichthys
CMCP_4,Rostrogobio liaohensis,0.14,Rostrogobio
CMCP_4,Schizopyge gongshanensis,0.14,Schizopyge
CMCP_4,Schizothorax gongshanensis,0.14,Schizothorax
CMCP_4,Schizothorax nukiangensis,0.14,Schizothorax
CMCP_3,Lepidomeda copei,0.139,Lepidomeda
CMCP_3,Notemigonus chrysocephalus,0.139,Notemigonus
CMCP_3,Notropis rafinesquei,0.139,Notropis
CMCP_3,Onychostoma lepturum,0.139,Onychostoma
CMCP_5,Squalius pamvoticus,0.139,Squalius
CMCP_4,Puntius conchonius,0.139,Puntius
CMCP_4,Sarcocheilichthys lacustris,0.139,Sarcocheilichthys
CMCP_4,Sarcocheilichthys sinensis,0.139,Sarcocheilichthys
CMCP_supplement,Rasbora daniconius,0.139,Rasbora
CMCP_1,Acanthorhodeus chankaensis,0.138,Acanthorhodeus
CMCP_1,Acheilognathus asmussii,0.138,Acheilognathus
CMCP_1,Acheilognathus majusculus,0.138,Acheilognathus
CMCP_3,Meda fulgida,0.138,Meda
CMCP_3,Microphysogobio rapidus,0.138,Microphysogobio
CMCP_3,Notropis boops,0.138,Notropis
CMCP_3,Notropis telescopus,0.138,Notropis
CMCP_3,Paedocypris micromegethes,0.138,Paedocypris
CMCP_3,Parabramis pekinensis,0.138,Parabramis
CMCP_3,Phenacobius uranops,0.138,Phenacobius
CMCP_2,Plagopterus argentissimus,0.138,Plagopterus
CMCP_4,Richardsonius balteatus,0.138,Richardsonius
CMCP_1,Belligobio pengxianensis,0.137,Belligobio
CMCP_1,Campostoma anomalum,0.137,Campostoma
CMCP_1,Catlocarpio siamensis,0.137,Catlocarpio
CMCP_3,Microrasbora kubotai,0.137,Microrasbora
CMCP_3,Notropis rupestris,0.137,Notropis
CMCP_3,Opsarius canarensis,0.137,Opsarius
CMCP_4,Puntius tetrazona,0.137,Puntius
CMCP_4,Raiamas guttatus,0.137,Raiamas
CMCP_4,Rasbora vaillantii,0.137,Rasbora
CMCP_4,Saurogobio xiangjiangenesis,0.137,Saurogobio
CMCP_4,Schizopyge niger,0.137,Schizopyge
CMCP_4,Schizothorax grahami,0.137,Schizothorax
CMCP_1,Acheilognathus barbatus,0.136,Acheilognathus
CMCP_3,Notropis jemezanus,0.136,Notropis
CMCP_2,Pseudophoxinus handlirschi,0.136,Pseudophoxinus
CMCP_4,Rhynchocypris lagowskii,0.136,Rhynchocypris
CMCP_4,Saurogobio gracilicaudatus,0.136,Saurogobio
CMCP_4,Sinocyclocheilus cyphotergous,0.136,Sinocyclocheilus
CMCP_4,Sinocyclocheilus multipunctatus,0.136,Sinocyclocheilus
CMCP_1,Acheilognathus barbatulus,0.135,Acheilognathus
CMCP_1,Acheilognathus gracilis,0.135,Acheilognathus
CMCP_3,Onychostoma meridionale,0.135,Onychostoma
