Assay,Taxon,Name,Amp
CMCP_1,Unspecified,Abbottina lalinensis,0.142
CMCP_1,Unspecified,Abbottina liaoningensis,0.142
CMCP_1,Unspecified,Ancherythroculter kurematsui,0.142
CMCP_1,Unspecified,Barbus kerstenii,0.14
CMCP_1,Unspecified,Chagunius chagunio,0.14
CMCP_1,Unspecified,Acheilognathus asmussii,0.138
CMCP_1,Unspecified,Acheilognathus majusculus,0.138
CMCP_1,Unspecified,Acanthorhodeus chankaensis,0.138
CMCP_1,Unspecified,Catlocarpio siamensis,0.137
CMCP_1,Unspecified,Belligobio pengxianensis,0.137
CMCP_1,Unspecified,Campostoma anomalum,0.137
CMCP_1,Unspecified,Acheilognathus barbatus,0.136
CMCP_1,Unspecified,Acheilognathus gracilis,0.135
CMCP_1,Unspecified,Acheilognathus barbatulus,0.135
CMCP_1,Unspecified,Campostoma pullum,0.134
CMCP_1,Unspecified,Akrokolioplax bicornis,0.134
CMCP_1,Unspecified,Barilius ardens,0.133
CMCP_1,Unspecified,Barbus martorelli,0.132
CMCP_1,Unspecified,Acheilognathus hypselonotus,0.132
CMCP_1,Unspecified,Barbus cadenati,0.131
CMCP_1,Unspecified,Barbus guineensis,0.131
CMCP_1,Unspecified,Carassius auratus,0.131
CMCP_1,Unspecified,Carassius carassius,0.131
CMCP_1,Unspecified,Acheilognathus longibarbatus,0.13
CMCP_1,Unspecified,Acheilognathus koreensis,0.13
CMCP_1,Unspecified,Barbodes banksi,0.128
CMCP_1,Unspecified,Chondrostoma oligolepis,0.128
CMCP_1,Unspecified,Acheilognathus tabira,0.126
CMCP_1,Unspecified,Algansea aphanea,0.125
CMCP_1,Unspecified,Anabarilius liui,0.124
CMCP_1,Unspecified,Acheilognathus typus,0.124
CMCP_1,Unspecified,Chuanchia labiosa,0.121
CMCP_1,Unspecified,Boraras maculatus,0.119
CMCP_1,Unspecified,Barbus eburneensis,0.119
CMCP_1,Unspecified,Bangana lippus,0.116
CMCP_1,Unspecified,Barbus paludinosus,0.115
CMCP_1,Unspecified,Barbus gurneyi,0.114
CMCP_1,Unspecified,Aphyocypris lini,0.114
CMCP_1,Unspecified,Aphyocypris normalis,0.113
CMCP_1,Unspecified,Barbus motebensis,0.112
CMCP_1,Unspecified,Aphyocypris pulchrilineata,0.112
CMCP_1,Unspecified,Barbus serra,0.111
CMCP_1,Unspecified,Barbus macinensis,0.11
CMCP_1,Unspecified,Candidia pingtungensis,0.11
CMCP_1,Unspecified,Barbus anema,0.108
CMCP_1,Unspecified,Campostoma ornatum,0.108
CMCP_1,Unspecified,Barbodes aurotaeniatus,0.108
CMCP_1,Unspecified,Barbus ablabes,0.107
CMCP_1,Unspecified,Acheilognathus cyanostigma,0.106
CMCP_1,Unspecified,Abbottina binhi,0.105
CMCP_1,Unspecified,Algansea avia,0.104
CMCP_1,Unspecified,Barbus pallidus,0.102
CMCP_1,Unspecified,Chanodichthys dabryi,0.101
CMCP_1,Unspecified,Barbus macrops,0.101
CMCP_1,Unspecified,Coreius heterodon,0.1
CMCP_1,Unspecified,Chanodichthys mongolicus,0.099
CMCP_1,Unspecified,Chela dadiburjori,0.099
CMCP_1,Unspecified,Chela dadyburjori,0.099
CMCP_1,Unspecified,Barbus baudoni,0.099
CMCP_1,Unspecified,Ancherythroculter wangi,0.099
CMCP_1,Unspecified,Barbus brevipinnis,0.098
CMCP_1,Unspecified,Boraras merah,0.097
CMCP_1,Unspecified,Candidia barbata,0.097
CMCP_1,Unspecified,Candidia barbatus,0.097
CMCP_1,Unspecified,Acanthorhodeus gracilis,0.097
CMCP_1,Unspecified,Barbus pobeguini,0.097
CMCP_1,Unspecified,Barbus lineomaculatus,0.096
CMCP_1,Unspecified,Barbus neefi,0.096
CMCP_1,Unspecified,Barilius malabaricus,0.096
CMCP_1,Unspecified,Boraras brigittae,0.095
CMCP_1,Unspecified,Biwia zezera,0.095
CMCP_1,Unspecified,Clypeobarbus congicus,0.094
CMCP_1,Unspecified,Clypeobarbus pleuropholis,0.094
CMCP_1,Unspecified,Barbus tiekoroi,0.093
CMCP_1,Unspecified,Algansea monticola,0.093
CMCP_1,Unspecified,Acheilognathus rhombeus,0.09
CMCP_1,Unspecified,Acheilognathus deignani,0.089
CMCP_1,Unspecified,Chrosomus cumberlandensis,0.089
CMCP_1,Unspecified,Barbus aspilus,0.088
CMCP_1,Unspecified,Agosia chrysogaster,0.087
CMCP_1,Unspecified,Alburnus orontis,0.078
CMCP_1,Unspecified,Betadevario ramachandrani,0.077
